Sample,timepoint,donor,vaccination
SNG-LB-SS-1S-RS-S1-CD34neg_S1_R1_001_Td0_BCG,Td0,S1,BCG
SNG-LB-SS-1S-RS-S2-CD34neg_S2_R1_001_Td0_BCG,Td0,S2,BCG
SNG-LB-SS-1S-RS-S3-CD34neg_S3_R1_001_Td0_CTL,Td0,S3,CTL
SNG-LB-SS-1S-RS-S5-CD34neg_S4_R1_001_Td0_BCG,Td0,S5,BCG
SNG-LB-SS-1S-RS-S6-CD34neg_S5_R1_001_Td0_BCG,Td0,S6,BCG
SNG-LB-SS-1S-RS-S7-CD34neg_S6_R1_001_Td0_CTL,Td0,S7,CTL
SNG-LB-SS-1S-RS-S8-CD34neg_S7_R1_001_Td0_BCG,Td0,S8,BCG
SNG-LB-SS-1S-RS-S10-CD34neg_S9_R1_001_Td0_BCG,Td0,S10,BCG
SNG-LB-SS-1S-RS-S11-CD34neg_S10_R1_001_Td0_CTL,Td0,S11,CTL
SNG-LB-SS-1S-RS-S12-CD34neg_S11_R1_001_Td0_BCG,Td0,S12,BCG
SNG-LB-SS-1S-RS-S13-CD34neg_S12_R1_001_Td0_CTL,Td0,S13,CTL
SNG-LB-SS-1S-RS-S14-CD34neg_S13_R1_001_Td0_BCG,Td0,S14,BCG
SNG-LB-SS-1S-RS-S15-CD34neg_S14_R1_001_Td0_BCG,Td0,S15,BCG
SNG-LB-SS-1S-RS-S16-CD34neg_S15_R1_001_Td0_BCG,Td0,S16,BCG
SNG-LB-SS-1S-RS-S17-CD34neg_S16_R1_001_Td0_BCG,Td0,S17,BCG
SNG-LB-SS-1S-RS-S18-CD34neg_S17_R1_001_Td0_CTL,Td0,S18,CTL
SNG-LB-SS-1S-RS-S20-CD34neg_S19_R1_001_Td0_BCG,Td0,S20,BCG
SNG-LB-SS-1S-RS-S21-CD34neg_S20_R1_001_Td0_BCG,Td0,S21,BCG
SNG-LB-SS-1S-RS-S1-CD34neg_S1_R1_001_Tm3_BCG,Tm3,S1,BCG
SNG-LB-SS-1S-RS-S2-CD34neg_S2_R1_001_Tm3_BCG,Tm3,S2,BCG
SNG-LB-SS-1S-RS-S3-CD34neg_S3_R1_001_Tm3_CTL,Tm3,S3,CTL
SNG-LB-SS-1S-RS-S5-CD34neg_S4_R1_001_Tm3_BCG,Tm3,S5,BCG
SNG-LB-SS-1S-RS-S6-CD34neg_S5_R1_001_Tm3_BCG,Tm3,S6,BCG
SNG-LB-SS-1S-RS-S7-CD34neg_S6_R1_001_Tm3_CTL,Tm3,S7,CTL
SNG-LB-SS-1S-RS-S8-CD34neg_S7_R1_001_Tm3_BCG,Tm3,S8,BCG
SNG-LB-SS-1S-RS-S9-CD34neg_S8_R1_001_Tm3_BCG,Tm3,S9,BCG
SNG-LB-SS-1S-RS-S10-CD34neg_S9_R1_001_Tm3_BCG,Tm3,S10,BCG
SNG-LB-SS-1S-RS-S11-CD34neg_S10_R1_001_Tm3_CTL,Tm3,S11,CTL
SNG-LB-SS-1S-RS-S12-CD34neg_S11_R1_001_Tm3_BCG,Tm3,S12,BCG
SNG-LB-SS-1S-RS-S13-CD34neg_S12_R1_001_Tm3_CTL,Tm3,S13,CTL
SNG-LB-SS-1S-RS-S14-CD34neg_S13_R1_001_Tm3_BCG,Tm3,S14,BCG
SNG-LB-SS-1S-RS-S15-CD34neg_S14_R1_001_Tm3_BCG,Tm3,S15,BCG
SNG-LB-SS-1S-RS-S16-CD34neg_S15_R1_001_Tm3_BCG,Tm3,S16,BCG
SNG-LB-SS-1S-RS-S17-CD34neg_S16_R1_001_Tm3_BCG,Tm3,S17,BCG
SNG-LB-SS-1S-RS-S18-CD34neg_S17_R1_001_Tm3_CTL,Tm3,S18,CTL
SNG-LB-SS-1S-RS-S19-CD34neg_S18_R1_001_Tm3_BCG,Tm3,S19,BCG
SNG-LB-SS-1S-RS-S20-CD34neg_S19_R1_001_Tm3_BCG,Tm3,S20,BCG
SNG-LB-SS-1S-RS-S21-CD34neg_S20_R1_001_Tm3_BCG,Tm3,S21,BCG
